school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
BSRI03201L,https://istitutofortuny.edu.it/,1618,1587,4638,229,6,8.0,1.0,12.0,3.5,4.54,6.5,2.54,2.91,6.5,6.5,6.5,1.83
NAPS72000T,https://www.LICEODELIGUORI.edu.IT,4456,1587,3627,560,7,7.0,1.0,7.0,4.0,3.12,2.28,3.12,3.61,7.0,5.21,7.82,2.28
BAPS24000D,https://www.lsamaldi.it,8314,1587,10852,404,6,9.0,3.0,11.0,3.0,0.45,2.87,6.04,6.24,3.06,6.5,6.42,2.57
BGTD04101D,https://www.issanpellegrino.edu.it,1203,1587,4549,348,12,1.0,1.0,15.0,3.7,2.6,3.17,9.2,3.47,3.17,6.5,6.5,3.17
CLPS03000N,https://www.liceovittorinigela.edu.it,3584,1587,9713,372,7,8.0,1.0,26.0,3.0,3.11,2.46,3.1,3.5,6.5,6.5,17.72,2.46
MITD04401G,https://www.isdellacqua.edu.it,3334,1587,2866,392,11,9.0,1.0,0.0,4.4,204.85,202.74,4.8,2.22,204.4,6.5,203.15,202.21
SAPC05801E,https://www.defilippisgaldi.it,1919,1587,3958,329,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,4.79,4.95,2.79
PETD03000D,https://www.istitutomarconi-penne.it,1794,1587,3777,358,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.29,6.5,2.42,6.11,2.79
BAPC04000L,https://www.liceotroya.edu.it,3995,1587,11391,429,7,7.0,1.0,18.0,3.6,3.62,18.45,6.45,6.5,53.72,3.11,54.95,25.36
PSPS050002,https://www.liceolaurana.edu.it,5005,1587,6428,368,10,9.0,1.0,1.0,-1.0,6.5,6.5,3.36,3.89,4.28,2.56,4.97,2.55
RERH008011,https://www.motti.edu.it,1893,1587,7429,568,8,9.0,3.0,5.0,3.4,2.39,8.03,1.06,5.65,7.18,1.12,6.94,7.0
