school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
CNPS07000P,https://iliceimondovi.edu.it/,927,1587,5700,455,7,5.0,1.0,2.0,4.4,2.89,2.58,2.89,3.08,6.5,12.88,8.71,2.58
NARH122024,https://www.ipssardegennaro.edu.it,2487,1587,4185,568,7,7.0,1.0,7.0,4.0,3.12,2.28,3.12,3.6,7.0,4.34,7.0,2.28
BOTD00701X,https://www.archimede.edu.it,4998,1587,5997,272,7,8.0,1.0,14.0,3.4,1.96,6.5,3.29,3.31,2.84,6.5,6.5,2.46
SAPS020006,https://www.liceodaprocida.edu.it,2825,1587,7472,534,11,1.0,1.0,25.0,3.5,7.95,2.75,4.22,3.99,3.02,3.48,7.0,2.76
CNRC00301D,https://www.grandiscuneo.edu.it/,3655,1587,5214,262,7,8.0,1.0,12.0,3.4,3.12,2.46,3.11,2.58,6.5,6.5,6.5,2.46
RMPS06401D,https://www.liceoblaisepascal.it,3388,1587,3632,179,7,8.0,1.0,2.0,3.8,3.1,2.46,3.1,3.46,6.5,6.5,1.85,2.46
VITF06000A,https://www.chilesotti.edu.it,3458,1587,3618,261,7,8.0,1.0,14.0,3.3,4.48,2.46,4.53,4.58,2.46,6.5,3.72,2.46
RAPS01000Q,https://www.liceoscientificoravenna.edu.it,1984,1587,5534,519,8,9.0,3.0,4.0,4.1,5.37,2.02,0.3,0.3,2.07,5.37,0.3,2.3
SRPS02901Q,https://www.istitutoeinaudi.edu.it,1896,1587,4173,292,7,5.0,1.0,3.0,4.3,2.89,2.58,2.89,3.08,6.5,1.96,6.5,2.58
TOTF04000D,https://www.itispininfarina.it,243,1604,848,1,0,8.0,1.0,23.0,3.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
PAPC04000P,https://www.liceogaribaldi.it,1740,1587,3838,369,7,5.0,1.0,3.0,4.1,3.1,2.79,3.1,3.31,6.5,9.33,4.93,2.79
VEPC02301X,http://istitutobrunofranchetti.edu.it/lbf/,1021,1587,1645,125,7,8.0,1.0,0.0,4.4,3.11,2.46,3.1,3.5,6.5,6.5,6.5,2.46
NAPC06801P,https://www.istitutosuperioregentileschi.it,35713,1587,5058,411,8,4.0,3.0,4.0,4.2,6.5,6.5,8.14,18.72,38.11,6.5,6.5,26.59
VASL040006,https://www.artisticovarese.edu.it,2167,1587,5190,259,7,8.0,1.0,10.0,3.5,3.19,2.46,3.18,3.61,6.5,6.5,7.07,2.46
NATF091011,https://www.isistassinari.edu.it,1984,1587,4533,231,7,8.0,1.0,7.0,3.6,3.11,2.46,3.1,3.66,6.5,6.5,6.38,2.46
VAPC02701R,https://www.liceocrespi.edu.it,771,1587,6190,380,5,4.0,3.0,0.0,4.3,1.19,3.84,7.31,5.03,3.94,3.1,3.15,3.51
FOTD010002,https://www.itematteucci.edu.it,2963,1587,4325,329,7,5.0,1.0,3.0,4.2,3.1,2.79,3.1,3.3,6.5,10.03,6.5,2.79
RMPC080007,https://www.liceoeqvisconti.it,936,1587,3774,338,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.29,6.5,9.09,5.61,2.79
